USPS,GEOID,ANSICODE,NAME,ALAND,AWATER,ALAND_SQTX,AWATER_SQTX,INTPTLAT,INTPTLONG,ROTATE,NOTES
TX,48115,1383843,Dawson,2331781561,4720730,900.306,1.8230000000000002,32.742528,-101.948771,0,0
TX,48123,1383844,DeWitt,2354237927,3919919,908.9760000000001,1.5130000000000001,29.082346,-97.361654,0,0
TX,48117,1383845,Deaf Smith,3876750566,3926557,1496.8220000000001,1.516,34.940765999999996,-102.607564,0,0
TX,48119,1383846,Delta,665192113,54648180,256.832,21.1,33.385933,-95.67335,0,0
TX,48121,1383847,Denton,2278094573,189918349,879.577,73.328,33.205132,-97.12114,0,0
TX,48125,1383848,Dickens,2335454676,9057848,901.7239999999999,3.497,33.615363,-100.787617,0,0
TX,48127,1383849,Dimmit,3441795367,14576535,1328.885,5.627999999999999,28.423587,-99.76587099999999,0,0
TX,48129,1383850,Donley,2400676101,15901856,926.9060000000001,6.14,34.955036,-100.815846,0,0
TX,48131,1383851,Duval,4645084675,5478267,1793.477,2.115,27.681123,-98.497393,0,0
TX,48133,1383852,Eastland,2399644792,14002299,926.508,5.406000000000001,32.324645000000004,-98.83655999999999,0,0
TX,48135,1383853,Ector,2325322369,10375045,897.812,4.006,31.865301000000002,-102.542507,0,0
TX,48137,1383854,Edwards,5485259735,5199798,2117.871,2.008,29.985877000000002,-100.307373,0,0
TX,48141,1383855,El Paso,2624297650,5293002,1013.247,2.044,31.766479999999998,-106.241424,0,0
TX,48139,1383856,Ellis,2423348506,41667181,935.66,16.088,32.346878000000004,-96.79694,0,0
TX,48143,1383857,Erath,2805417368,17169065,1083.178,6.629,32.236661,-98.220507,0,0
TX,48145,1383858,Falls,1982545002,21693803,765.465,8.376,31.251929999999998,-96.934127,0,0
TX,48147,1383859,Fannin,2307251018,20847065,890.835,8.049,33.591161,-96.104988,0,0
TX,48149,1383860,Fayette,2460316895,25574677,949.934,9.874,29.877886,-96.921231,0,0
TX,48151,1383861,Fisher,2328272102,7258480,898.951,2.803,32.740473,-100.40312,0,0
TX,48153,1383862,Floyd,2569637283,983737,992.143,0.38,34.07373,-101.303274,0,0
TX,48155,1383863,Foard,1824378631,8514741,704.3969999999999,3.2880000000000003,33.963306,-99.816828,0,0
TX,48157,1383864,Fort Bend,2231956074,61062478,861.763,23.576,29.526602,-95.771015,0,0
TX,48159,1383865,Franklin,736570305,26874741,284.39099999999996,10.376,33.175846,-95.219066,0,0
TX,48161,1383866,Freestone,2273311879,36936952,877.7310000000001,14.261,31.701749,-96.14495699999999,0,0
TX,48163,1383867,Frio,2935753506,2193622,1133.501,0.847,28.869334000000002,-99.108788,0,0
TX,48165,1383868,Gaines,3891105258,1262946,1502.364,0.488,32.743942,-102.631561,0,0
TX,48167,1383869,Galveston,981349683,1281775597,378.901,494.89599999999996,29.233453000000004,-94.888456,0,0
TX,48169,1383870,Garza,2313930832,7215531,893.414,2.786,33.183792,-101.30113399999999,0,0
TX,48171,1383871,Gillespie,2740729668,9002241,1058.202,3.4760000000000004,30.325090999999997,-98.941851,0,0
TX,48173,1383872,Glasscock,2331552974,2245302,900.2180000000001,0.867,31.868006,-101.52149399999999,0,0
TX,48175,1383873,Goliad,2206698610,19050015,852.0110000000001,7.355,28.6607,-97.430415,0,0
TX,48177,1383874,Gonzales,2762704862,8204087,1066.6860000000001,3.168,29.461911999999998,-97.49192,0,0
TX,48179,1383875,Gray,2398261679,8700790,925.9739999999999,3.359,35.402542,-100.812374,0,0
TX,48183,1383877,Gregg,708052199,6206414,273.38,2.396,32.486397,-94.816276,0,0
TX,48185,1383878,Grimes,2039529235,36608889,787.467,14.135,30.543231,-95.98808199999999,0,0
TX,48187,1383879,Guadalupe,1842136094,9157035,711.253,3.536,29.583532,-97.946771,0,0
TX,48189,1383880,Hale,2602109427,246678,1004.68,0.095,34.068436,-101.822888,0,0
TX,48191,1383881,Hall,2288233615,53366403,883.492,20.605,34.655623,-100.76389300000001,0,0
TX,48193,1383882,Hamilton,2165008734,1238628,835.915,0.478,31.707341999999997,-98.111756,0,0
TX,48195,1383883,Hansford,2382296646,1548341,919.81,0.598,36.272847,-101.35693,0,0
TX,48197,1383884,Hardeman,1800337392,4548860,695.1139999999999,1.756,34.289904,-99.74569699999999,0,0
TX,48199,1383885,Hardin,2306612357,18037857,890.5880000000001,6.9639999999999995,30.329648,-94.393178,0,0
TX,48201,1383886,Harris,4418909573,184757689,1706.151,71.335,29.857273,-95.39303699999999,0,0
TX,48205,1383888,Hartley,3786435508,3023183,1461.951,1.167,35.840244,-102.610047,0,0
TX,48207,1383889,Haskell,2339103809,18465208,903.133,7.129,33.175964,-99.730774,0,0
TX,48209,1383890,Hays,1756075985,4940666,678.025,1.9080000000000001,30.061225,-98.029267,0,0
TX,48211,1383891,Hemphill,2347270020,15205586,906.2860000000001,5.871,35.815956,-100.27920999999999,0,0
TX,48213,1383892,Henderson,2263013491,193259090,873.7539999999999,74.618,32.211633,-95.853418,0,0
TX,48215,1383893,Hidalgo,4068395785,31102629,1570.816,12.009,26.396384,-98.18099000000001,0,0
TX,48217,1383894,Hill,2483426715,69544717,958.8560000000001,26.851,31.982681,-97.130668,0,0
TX,48219,1383895,Hockley,2352723915,446119,908.3919999999999,0.172,33.605932,-102.343398,0,0
TX,48221,1383896,Hood,1089630253,41775740,420.709,16.13,32.430149,-97.831677,0,0
TX,48223,1383897,Hopkins,1987629163,65639829,767.428,25.344,33.148967,-95.565434,0,0
TX,48225,1383898,Houston,3188278910,14435337,1231.001,5.574,31.323036,-95.4216,0,0
TX,48227,1383899,Howard,2333039143,8841783,900.791,3.4139999999999997,32.30343,-101.438721,0,0
TX,48229,1383900,Hudspeth,11837605308,2189943,4570.525,0.846,31.450868,-105.377549,0,0
TX,48231,1383901,Hunt,2176665528,107763045,840.415,41.608000000000004,33.123308,-96.08423,0,0
TX,48233,1383902,Hutchinson,2298408152,19507502,887.42,7.532,35.837047,-101.362746,0,0
TX,48235,1383903,Irion,2723485995,176317,1051.5439999999999,0.068,31.303424,-100.98130400000001,0,0
TX,48237,1383904,Jack,2359323752,23786538,910.94,9.184,33.232161,-98.171176,0,0
TX,48241,1383906,Jasper,2431105363,80399907,938.655,31.043000000000003,30.752932,-94.02229399999999,0,0
TX,48243,1383907,Jeff Davis,5865172239,206206,2264.556,0.08,30.625357,-104.191873,0,0
TX,48245,1383908,Jefferson,2269793077,611960827,876.372,236.27900000000002,29.854,-94.149331,0,0
TX,48247,1383909,Jim Hogg,2942674728,92565,1136.173,0.036000000000000004,27.053231,-98.747571,0,0
TX,48249,1383910,Jim Wells,2240779223,8739522,865.17,3.3739999999999997,27.733515999999998,-98.090814,0,0
TX,48251,1383911,Johnson,1877798304,24427654,725.0219999999999,9.432,32.379821,-97.364959,0,0
TX,48253,1383912,Jones,2404986877,22187252,928.571,8.567,32.743709,-99.87443,0,0
TX,48255,1383913,Karnes,1936008333,15671661,747.497,6.051,28.908996000000002,-97.852205,0,0
TX,48257,1383914,Kaufman,2021977077,69726012,780.69,26.921,32.598944,-96.288377,0,0
TX,48259,1383915,Kendall,1715747627,1496797,662.454,0.578,29.943525,-98.70926899999999,0,0
TX,48261,1383916,Kenedy,3777375652,1262209502,1458.453,487.342,26.890213,-97.591143,0,0
TX,48263,1383917,Kent,2337482037,1065195,902.507,0.41100000000000003,33.184779999999996,-100.76971999999999,0,0
TX,48265,1383918,Kerr,2857603410,10245935,1103.327,3.9560000000000004,30.059953000000004,-99.353339,0,0
TX,48267,1383919,Kimble,3240035979,493584,1250.985,0.191,30.479471999999998,-99.74639599999999,0,0
